age;ew1944;nonpnp;pnp;recall;cocos_keeling;cocomfr;anabaptists;hutterites;hutpre1921;china57;china5258;korea1959;krural1959
15;;107,71;1111,87;270,69;38,9;;;;;243;218;5;6
16;;170,2;839,72;283,03;97,7;;;;;187;175;10;14
17;425,7;209,55;826,77;336,38;177,8;;;;;231;239;23;31
18;367,8;333,15;779,98;442,24;279,3;;290;538;467;308;296;50;67
19;327,6;323,67;679,23;419,53;351,9;;400;596;531;338;324;100;129
20;303,5;329,03;647,96;416,28;364,8;;580;611;552;357;334;159;198
21;276,5;381,99;613,88;445,74;386,6;;560;593;464;354;326;218;262
22;252,4;359,75;513,02;401,27;357,3;;600;573;453;355;334;272;311
23;238,8;381,42;554,85;427,05;382,5;;590;518;479;362;327;311;346
24;225,5;353,54;477,02;385,51;366,1;;610;518;448;342;319;333;367
25;212;359,97;468;387,85;356,1;;570;537;494;334;318;338;371
26;199,3;355,88;434,12;376,06;384,8;;560;518;466;331;311;332;367
27;185,9;349,25;459,41;377,73;363,9;;560;528;438;328;300;326;361
28;174,3;348,71;387,7;358,66;301;;540;449;394;314;298;317;351
29;161,5;331,52;388,32;345,92;394,3;;540;515;466;296;289;305;338
30;150,4;326,14;391,1;342,55;296,6;;540;430;374;293;280;293;328
31;140,3;301,41;353,75;314,6;333,3;;530;500;485;290;269;282;320
32;128,6;305,07;364,07;319,85;288,3;;440;442;402;283;258;272;306
33;114,6;296,22;343,82;308,05;349,1;;510;437;426;271;249;260;292
34;101,6;273,86;321,91;285,71;291,3;;470;437;439;265;244;246;279
35;83,7;271,5;319,39;283,34;350;369,6;460;453;385;236;231;230;264
36;72,4;261,26;278,92;265,61;284,2;323,4;430;385;387;226;220;216;247
37;59,9;239,69;298,92;254,17;263,4;298,1;410;393;384;211;205;204;233
38;49;216,78;264,77;228,44;258,8;279,2;430;398;359;206;195;189;216
39;35,2;203,29;207,19;204,24;256,3;274,7;380;338;352;195;186;168;196
40;26,2;191,95;227;200,37;245;266,7;390;317;296;150;149;143;168
41;19,6;150,38;184,68;158,57;164,3;187;300;275;290;127;137;118;141
42;12,7;119,88;161,89;129,82;109,4;123,9;260;213;181;107;115;96;115
43;7,4;80,7;103,41;86,03;115,7;129,6;190;161;170;100;107;70;85
44;3,3;64;82,53;68,31;61,9;70;150;85;75;76;82;46;56
45;;43,15;45,59;43,72;28,3;32,2;80;105;112;;;30;37
46;;28,23;36,02;30,06;50;58,8;30;20;21;;;20;24
47;;12,2;21,03;14,27;;;30;20;7;;;;
48;;9,19;11,4;9,7;;;;20;0;;;;
49;;7,28;5,08;6,77;;;;6;0;;;;
;;;;;;;;7;;;;;
